Search__ID,Search_Type,PMID,PUB_YEAR,PROJECT_NUMBER,FY_Start,FY_Last,APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,Activity_Code,Institute_Code,Acronym_institute_name,full_institute_name,Compressed Names,Project_Count
NIH15365282021,Bcel,12165506,2002,F32CA079115,1999,2000,2000,2000F32CA079115,59692,F32,CA,NCI,National Cancer Institute,National Cancer Institute,1
NIH15365282021,Bcel,29669947,2018,K12CA076931,1999,2020,2018,2018K12CA076931,796188,K12,CA,NCI,National Cancer Institute,National Cancer Institute,1
NIH15365282021,Bcel,14662906,2003,P01CA016519,1999,2010,2003,2003P01CA016519,3387388,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1
NIH15365282021,Bcel,31558469,2019,P01CA018029,1999,2020,2019,2019P01CA018029,3801408,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2
NIH15365282021,Bcel,22536156,2012,P01CA019014,1999,2020,2012,2012P01CA019014,2003705,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2
NIH15365282021,Bcel,16361564,2005,P01CA023766,1999,2020,2005,2005P01CA023766,3784901,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1
NIH15365282021,Bcel,18046446,2008,P01CA055819,1999,2013,2008,2008P01CA055819,4120282,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2
NIH15365282021,Bcel,25582824,2015,P01CA059350,1999,2012,2012,2012P01CA059350,164054,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2
NIH15365282021,Bcel,18025170,2007,P01CA062242,1999,2009,2007,2007P01CA062242,1723375,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2
NIH15365282021,Bcel,21687682,2011,P01CA068484,1999,2010,2010,2010P01CA068484,3909814,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2
NIH15365282021,Bcel,27127303,2016,P01CA078378,1999,2014,2014,2014P01CA078378,1999738,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2
NIH15365282021,Bcel,26370838,2015,P01CA078378,1999,2014,2014,2014P01CA078378,1999738,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2
NIH15365282021,Bcel,15692072,2005,P01CA078378,1999,2014,2005,2005P01CA078378,2599265,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1
NIH15365282021,Bcel,28747530,2017,P30CA006516,1999,2021,2017,2017P30CA006516,12273156,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5
NIH15365282021,Bcel,18337558,2008,P30CA006927,1999,2021,2008,2008P30CA006927,9696166,P30,CA,NCI,National Cancer Institute,National Cancer Institute,4
NIH15365282021,Bcel,31135528,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5
NIH15365282021,Bcel,31113804,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5
